"","Country","mortality.rate","AFR","agri.forestry.fish.gdp.pct","industry.gdp.pct","CO2","fertility.rate","GDP","GDP.per.capita","GDP.grwoth.rate","GNI","inflation","population.growth","population","unemployment","Continent","Urban.pop","Household.consump","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"11","Bhutan",38.1,29.045,15.9646188419033,41.6180107333792,1.0860250183607,2.236,1823692109.61652,2422.00801577828,5.07170981496216,4972724778.89177,9.18073918721305,1.66822641327716,752967,2.04999995231628,"Asia",36.37,6.52038545914306,71.49,0.13,98,100.31,2.65,97,49.4,95,25.85,3.64,75.61,24
"12","Bolivia",42.2,72.579,9.81216162670164,29.3342192994793,1.83546905538859,3.072,27084497539.7974,2645.22775260146,5.12227466098376,56772683929.0537,7.10027660286885,1.58154850458483,10239004,2.04999995231628,"South America",67.28,9.68758584068893,51.35,0.43,88.5,130.98,4.14,93,48.4,96,23.23,8.39,90.44,35.34
"13","Botswana",46,38.663,2.69527010339712,29.7195187837155,2.02540928486131,2.863,14420393568.8596,6901.97197112909,4.45616721309787,30306335976.9989,0.193771857511862,1.83435103995214,2089315,17.4930000305176,"Africa",56.7,9.07583593466862,19.67,0.13,96.1,130,3.22,95,62.4,97,5.3,8.01,153.79,11.5
"14","Bulgaria",9.8,43.466,4.55958283967411,24.9996343265026,6.11945652602394,1.5,53903022339.0276,7378.02473005713,0.0309698686798754,116829454882.226,1.55524469369723,-0.579220596364389,7305888,12.2700004577637,"Europe",72.97,10.4644801065797,34.74,0.45,99.5,107.98,4.18,95,86,94,42.52,29.31,148.13,51.9
"15","Burkina Faso",103.2,115.408,31.4834039635981,22.3730821681591,0.158663009401362,5.693,11166063466.5623,673.822818226635,6.45269875497425,25171770288.355,5.82397326927034,2.99725496812202,16571216,5.54899978637695,"Africa",27.35,8.78184867518878,20.21,0.36,81.7,128.64,3.59,90,18.6,87,34.35,0.86,60.61,3.73
"16","Burundi",79.9,29.88,35.4205377011774,15.7510376402708,0.030296972759882,6.058,2333308099.46249,250.362736551083,4.44670822214543,7024433702.46979,14.2924396823893,3.00843601052626,9319710,1.51499998569489,"Africa",11.19,7.5376644257375,10.21,0.11,75.3,98.16,4.93,96,47.5,93,21.92,0.18,22.81,1.22
"17","Cambodia",38.1,48.816,33.5196036107247,22.9764549074779,0.369259354453103,2.739,14054443213.4639,951.111231127353,7.31334550530008,40049665514.1105,1.44051812730616,1.63047802210168,14776866,0.159999996423721,"Asia",20.14,9.33266507861383,55.74,0.28,68.8,173.83,1.45,95,37.2,93,60.25,3.93,128.53,4.94
"18","Cameroon",101.5,120.959,13.7215245792943,28.1477048584107,0.290648215621545,4.984,29104437355.0395,1380.50984820072,4.54326501566736,63874777738.5481,2.67090003248194,2.7015959133753,21082383,4.22599983215332,"Africa",52.68,9.92221411088165,41.2,0.29,74.1,154.89,1.62,85,45.2,82,63.66,3.4,60.41,5.7
"19","Central African Republic",142.9,113.73,50.7499363542639,12.9838204413854,0.0653302500258328,5.123,2169706564.05899,483.186093239243,4.11279786850471,4315571079.20337,2.6936933797093,0.318137562535434,4490416,6.2979998588562,"Africa",39.26,7.56616607673322,35.66,0.39,68.2,119.61,1.92,47,21.5,49,44.19,0.02,25.26,3
"20","Chad",142.2,178.22,54.8998138086533,12.9336323892287,0.0482001175115416,6.372,12368071038.7362,973.470257398779,8.88257607170316,24782590694.6897,1.09724571223184,3.33300889359437,12705135,5.7039999961853,"Africa",22.13,9.00224059353152,4.17,0.39,50.7,124.85,1.36,45,12,64,59.81,0.22,35.36,2.1
"21","Chile",8.4,50.361,3.30478097611631,32.5391180201407,4.67798279651244,1.834,267122320056.702,15431.9029324117,5.31862800041417,356585691606.856,1.13016091761556,0.90757975844492,17309746,6.65999984741211,"South America",88.99,12.018633174527,22.64,0.08,98.7,114.85,3.49,90,98.8,90,32.44,18.78,137.08,61.42
"22","China",13.5,6.88,9.41993615797438,45.273501998455,7.42475091638009,1.599,8560547314679.28,6337.88332279255,7.85626211026953,15296329736060.8,2.39248415120095,0.487231117971201,1350695000,4.46999979019165,"Asia",51.89,14.9453843408657,21.7,0.08,93.2,127.64,3.03,99,73.1,99,34.34,20.2,80.76,42.3
"23","Colombia",17.4,57.657,5.58803777437746,33.3571807523912,1.70539858227583,1.948,370574421703.06,7904.49578864701,3.90305421927599,540131727249.762,3.68092165107214,1.01799263503797,46881475,9.8100004196167,"South America",75.6,12.3301194891833,52.8,0.03,91.2,110.7,5.17,91,80.2,94,14.76,14.81,102.85,48.98
"24","Congo, Dem. Rep.",108.3,129.344,20.441060705608,40.2547563785669,0.0348206856141438,6.432,29306235826.3886,424.859318512183,7.08689894671942,46947732390.5851,5.93999221220365,3.33887151187946,68978682,3.70499992370605,"Africa",40.95,9.90280481952698,67.71,0.1,51.4,115.73,1.87,75,27.6,72,32.48,0.09,30.58,1.68
"25","Congo, Rep.",57.6,123.177,3.92577410648846,74.7676842780291,0.641061362988395,4.876,13677930123.5919,2952.05234806594,3.79997131252208,19170226991.7131,-1.16993793055299,2.63806624365531,4633363,10,"Africa",64.1,8.49932042074827,65.53,0.12,75.3,132.36,3.15,79,14.6,75,19.95,0.34,98.76,6.11
"26","Costa Rica",9.8,59.064,5.40932984049542,21.9347360188908,1.66878006206111,1.866,46473128285.4629,9985.36958968047,4.79691991819726,63684238715.3535,4.35587301587094,1.15939368812774,4654122,9.89999961853027,"North America",73.94,10.290177505318,52.2,0.05,97.5,119.96,7.53,91,94.3,90,23.05,20.71,111.92,47.5
"27","Cote d'Ivoire",103.5,136.086,22.190251202045,24.0295593061125,0.434007997627109,5.16,26790579775.295,1250.80892415322,10.7065041030832,57260854482.0477,3.15486529798481,2.47350637389809,21418603,2.91400003433228,"Africa",52.04,9.79057190191855,32.71,0.14,81.2,123.12,1.97,82,21.6,74,54.47,1.39,91.23,5
"28","Croatia",5.2,11.172,3.30921112550397,22.8631414802014,4.21645564043887,1.51,56548374546.3441,13250.7571183202,-2.30064283827109,87590665202.5474,1.54704164977008,-0.305655944795909,4267558,15.9300003051758,"Europe",58.07,10.4335697721973,34.32,0.21,99.4,94.2,5.82,96,97.1,95,12.44,40.48,115.41,61.94
"29","Cuba",5.8,50.551,3.85009775638835,23.3671948701822,3.17660834784583,1.685,7.3141e+10,6425.94111866075,3.01490028898772,7.2146e+13,2.91405780485152,0.241854764348494,11382146,3.46000003814697,"North America",76.78,10.5904846097986,28.55,0.28,94.1,100.57,8.09,96,92.7,99,5.85,10.79,14.92,21.2
"30","Cyprus",3.3,5.161,1.9783249836324,11.373072573644,6.09625641594908,1.388,25041397918.5404,28984.9148053503,-2.87809955633817,26677617486.0069,1.70440691189413,0.905091675899622,1135062,11.789999961853,"Asia",67.26,9.73244712386004,18.7,0.08,100,83.03,3.44,99,100,86,46.26,33.06,98.4,60.69
"31","Czech Republic",3.2,11.047,2.34970610200418,33.1639207943423,9.61198587926592,1.45,207376427020.815,19729.8705111763,-0.799844281176618,286391051564.635,1.45997467346612,0.139925655740972,10510785,6.98000001907349,"Europe",73.12,11.533233258766,34.46,0.3,100,89.2,6.34,99,99.1,98,15.03,19.86,126.85,73.43
